"Service Request Description","Department","Block/Address","Street","Ward","Method Received","Created Date"
"Building Condition Complaint","Building Services","102##","MENARD","WARD 7","Phone","FEB 23, 2024 03:43:44 PM"
"Building Condition Complaint","Building Services","39##","ONTARIO","WARD 5","E-Mail","FEB 26, 2024 11:14:47 AM"
"Building Condition Complaint","Building Services","36##","QUEEN","WARD 2","Phone","JAN 15, 2024 12:16:23 PM"
"Building Condition Complaint","Building Services","15##","AUBIN","WARD 5","Phone","JAN 24, 2024 03:48:38 PM"
"Building Condition Complaint","Building Services","10##","DROUILLARD","WARD 5","E-Mail","JAN 29, 2024 11:15:08 AM"
"Building Condition Complaint","Building Services","8##","ST LUKE","WARD 5","Phone","JAN 16, 2024 03:14:40 PM"
"Building Condition Complaint","Building Services","8##","JOS JANISSE","WARD 5","Citizen Mobile Apps","JAN 31, 2024 11:37:52 AM"
"Building Condition Complaint","Building Services","12##","UNIVERSITY","WARD 3","Citizen Mobile Apps","FEB 13, 2024 10:28:02 AM"
"Building Condition Complaint","Building Services","3##","PARENT","WARD 4","Phone","FEB 26, 2024 09:37:36 AM"
"Building Condition Complaint","Building Services","18##","WALKER","WARD 4","Web Intake","FEB 26, 2024 01:20:40 PM"
"Building Condition Complaint","Building Services","100##","ASPEN","WARD 7","Phone","FEB 02, 2024 03:11:16 PM"
"Building Condition Complaint","Building Services","22##","VICTORIA","WARD 3","Phone","JAN 31, 2024 12:16:19 PM"
"Building Condition Complaint","Building Services","8##","VICTORIA","WARD 3","Phone","FEB 02, 2024 09:59:30 AM"
"Building Condition Complaint","Building Services","3##","ELLIS","WARD 3","Phone","MAR 05, 2024 10:13:51 AM"
"Building Condition Complaint","Building Services","4##","HALL","WARD 4","Phone","MAR 06, 2024 12:41:07 PM"
"Building Condition Complaint","Building Services","16##","GOYEAU","WARD 3","Phone","FEB 29, 2024 12:26:18 PM"
"Building Condition Complaint","Building Services","14##","CATARAQUI","WARD 4","Phone","MAR 11, 2024 10:05:41 AM"
"Building Condition Complaint","Building Services","26##","MEADOWBROOK","WARD 8","Phone","MAR 08, 2024 11:44:08 AM"
"Building Condition Complaint","Building Services","17##","UNIVERSITY","WARD 2","E-Mail","MAR 04, 2024 01:30:40 PM"
"Building Condition Complaint","Building Services","14##","CATARAQUI","WARD 4","Citizen Mobile Apps","MAR 10, 2024 09:55:58 AM"
"Building Condition Complaint","Building Services","1##","PARK","WARD 3","Phone","FEB 12, 2024 10:22:23 AM"
"Building Condition Complaint","Building Services","11##","LAUZON","WARD 6","Phone","FEB 21, 2024 02:29:56 PM"
"Building Condition Complaint","Building Services","3##","LOUIS","WARD 4","Phone","MAR 07, 2024 08:29:58 AM"
